入力1,入力2,入力3
-0.19328,0.00000,0
-0.70801,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.09766,0
-1.00000,-0.09969,0
-1.00000,-0.10376,0
-1.00000,-0.12817,0
-1.00000,-0.13835,0
-1.00000,-0.13631,0
-1.00000,-0.13631,0
-1.00000,-0.13428,0
-1.00000,-0.10376,0
-1.00000,-0.06307,0
-1.00000,-0.00407,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,0.00000,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,0.14445,0
-1.00000,0.31535,0
-1.00000,0.53101,0
-1.00000,0.71818,0
-1.00000,0.93994,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-0.86873,1.00000,0
-0.72428,1.00000,0
-0.53711,1.00000,0
-0.27059,1.00000,0
0.00000,1.00000,0
0.00000,1.00000,0
0.00000,1.00000,0
0.00000,1.00000,0
0.30721,1.00000,0
0.70597,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,0.90535,0
1.00000,0.41707,0
1.00000,0.00000,0
1.00000,-0.00203,0
1.00000,-0.00203,0
1.00000,-0.37842,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
1.00000,-1.00000,0
0.90739,-1.00000,0
0.86670,-1.00000,0
0.76904,-1.00000,0
0.72225,-1.00000,0
0.63070,-1.00000,0
0.52083,-1.00000,0
0.31738,-1.00000,0
0.00000,-1.00000,0
0.00000,-1.00000,0
0.00000,-1.00000,0
-0.24821,-1.00000,0
-0.80363,-1.00000,0
-1.00000,-1.00000,0
-1.00000,-1.00000,0
-1.00000,-1.00000,0
-1.00000,-1.00000,0
-1.00000,-0.80973,0
-1.00000,-0.50049,0
-1.00000,-0.16073,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,-0.00203,0
-1.00000,0.00000,0
-1.00000,0.05290,0
-1.00000,0.25228,0
-1.00000,0.45776,0
-1.00000,0.62459,0
-1.00000,0.79549,0
-1.00000,0.95825,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-1.00000,1.00000,0
-0.75887,1.00000,0
-0.28687,1.00000,0
0.00000,1.00000,0
0.00000,1.00000,0
0.22786,1.00000,0
0.56763,1.00000,0
0.85449,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
1.00000,1.00000,0
